iter	Passed	Remaining
450	1693	2060
451	1695	2055
452	1698	2050
453	1701	2045
454	1703	2040
455	1706	2036
456	1709	2031
457	1712	2027
458	1715	2022
459	1718	2017
460	1721	2012
461	1725	2008
462	1728	2004
463	1731	2000
464	1735	1996
465	1738	1991
466	1741	1987
467	1744	1982
468	1747	1978
469	1750	1973
470	1753	1969
471	1756	1965
472	1759	1960
473	1763	1956
474	1766	1952
475	1769	1948
476	1772	1943
477	1775	1938
478	1778	1934
479	1781	1929
480	1783	1924
481	1787	1920
482	1790	1916
483	1793	1911
484	1796	1907
485	1798	1902
486	1802	1898
487	1805	1894
488	1808	1889
489	1811	1885
490	1814	1880
491	1817	1876
492	1820	1872
493	1823	1867
494	1826	1863
495	1829	1858
496	1832	1854
497	1835	1850
498	1838	1845
499	1841	1841
500	1843	1835
501	1846	1831
502	1849	1827
503	1852	1822
504	1855	1818
505	1858	1814
506	1861	1810
507	1864	1805
508	1867	1801
509	1870	1797
510	1873	1793
511	1877	1789
512	1880	1784
513	1883	1780
514	1886	1776
515	1889	1771
516	1891	1767
517	1894	1763
518	1898	1759
519	1901	1754
520	1904	1751
521	1907	1747
522	1911	1743
523	1914	1739
524	1918	1735
525	1921	1731
526	1924	1727
527	1928	1723
528	1932	1720
529	1936	1717
530	1940	1713
531	1943	1709
532	1946	1705
533	1950	1702
534	1953	1697
535	1956	1693
536	1959	1689
537	1970	1692
538	1973	1688
539	1977	1684
540	1980	1680
541	1983	1676
542	1986	1672
543	1990	1668
544	1993	1664
545	1996	1660
546	2000	1656
547	2003	1652
548	2007	1648
549	2010	1644
550	2013	1640
551	2016	1636
552	2019	1632
553	2022	1628
554	2025	1624
555	2028	1619
556	2031	1615
557	2034	1611
558	2037	1607
559	2040	1603
560	2044	1599
561	2047	1595
562	2049	1591
563	2052	1586
564	2055	1582
565	2058	1578
566	2061	1574
567	2065	1571
568	2069	1567
569	2072	1563
570	2075	1559
571	2078	1554
572	2080	1550
573	2083	1546
574	2086	1542
575	2089	1538
576	2092	1533
577	2095	1529
578	2097	1525
579	2100	1521
580	2103	1516
581	2106	1513
582	2109	1508
583	2112	1504
584	2115	1500
585	2118	1496
586	2121	1492
587	2124	1488
588	2127	1484
589	2130	1480
590	2133	1476
591	2136	1472
592	2139	1468
593	2142	1464
594	2145	1460
595	2148	1456
596	2151	1452
597	2154	1448
598	2158	1444
599	2161	1440
600	2164	1436
601	2167	1432
602	2170	1429
603	2173	1424
604	2175	1420
605	2178	1416
606	2181	1412
607	2184	1408
608	2187	1404
609	2190	1400
610	2192	1396
611	2195	1392
612	2198	1387
613	2201	1383
614	2204	1379
615	2206	1375
616	2209	1371
617	2212	1367
618	2215	1363
619	2218	1359
620	2221	1355
621	2224	1351
622	2227	1348
623	2230	1343
624	2232	1339
625	2235	1335
626	2238	1331
627	2241	1327
628	2243	1323
629	2246	1319
630	2249	1315
631	2252	1311
632	2255	1307
633	2258	1303
634	2261	1299
635	2263	1295
636	2267	1292
637	2271	1288
638	2274	1284
639	2277	1281
640	2280	1277
641	2284	1273
642	2287	1270
643	2290	1266
644	2293	1262
645	2297	1258
646	2303	1256
647	2307	1253
648	2320	1255
649	2328	1253
650	2336	1252
651	2352	1255
652	2363	1256
653	2367	1252
654	2370	1248
655	2373	1244
656	2376	1240
657	2381	1237
658	2384	1233
659	2387	1229
660	2389	1225
661	2393	1221
662	2397	1218
663	2405	1217
664	2413	1215
665	2416	1211
666	2422	1209
667	2425	1205
668	2429	1201
669	2431	1197
670	2434	1193
671	2437	1189
672	2440	1185
673	2444	1182
674	2447	1178
675	2450	1174
676	2453	1170
677	2456	1166
678	2459	1162
679	2462	1158
680	2466	1155
681	2470	1152
682	2473	1148
683	2477	1144
684	2479	1140
685	2482	1136
686	2485	1132
687	2489	1128
688	2493	1125
689	2496	1121
690	2500	1118
691	2503	1114
692	2508	1111
693	2511	1107
694	2514	1103
695	2517	1099
696	2520	1095
697	2526	1092
698	2530	1089
699	2534	1086
700	2538	1082
701	2542	1079
702	2544	1075
703	2547	1071
704	2550	1067
705	2553	1063
706	2556	1059
707	2560	1055
708	2563	1052
709	2567	1048
710	2571	1045
711	2575	1041
712	2578	1037
713	2581	1033
714	2584	1030
715	2588	1026
716	2591	1022
717	2594	1018
718	2597	1015
719	2600	1011
720	2603	1007
721	2606	1003
722	2609	999
723	2612	995
724	2615	992
725	2619	988
726	2622	984
727	2624	980
728	2628	976
729	2631	973
730	2635	969
731	2638	965
732	2641	962
733	2644	958
734	2647	954
735	2651	951
736	2654	947
737	2657	943
738	2660	939
739	2663	935
740	2667	932
741	2670	928
742	2673	924
743	2676	920
744	2678	916
745	2682	913
746	2684	909
747	2688	905
748	2690	901
749	2693	897
750	2697	894
751	2700	890
752	2703	886
753	2706	883
754	2709	879
755	2716	876
756	2722	873
757	2732	872
758	2739	869
759	2750	868
760	2757	866
761	2763	863
762	2774	861
763	2782	859
764	2789	856
765	2799	855
766	2805	852
767	2811	849
768	2817	846
769	2820	842
770	2831	841
771	2835	837
772	2839	833
773	2844	830
774	2847	826
775	2851	823
776	2855	819
777	2859	815
778	2863	812
779	2866	808
780	2869	804
781	2872	800
782	2876	797
783	2880	793
784	2883	789
785	2886	785
786	2889	782
787	2893	778
788	2896	774
789	2899	770
790	2901	766
791	2905	763
792	2909	759
793	2912	755
794	2915	751
795	2918	747
796	2921	744
797	2924	740
798	2927	736
799	2930	732
800	2933	728
801	2935	724
802	2939	721
803	2942	717
804	2946	713
805	2949	709
806	2953	706
807	2957	702
808	2959	698
809	2962	694
810	2965	691
811	2968	687
812	2972	683
813	2976	680
814	2979	676
815	2982	672
816	2984	668
817	2989	665
818	2992	661
819	2995	657
820	2998	653
821	3002	650
822	3005	646
823	3008	642
824	3011	638
825	3014	635
826	3017	631
827	3020	627
828	3023	623
829	3026	619
830	3029	616
831	3032	612
832	3036	608
833	3039	605
834	3042	601
835	3045	597
836	3048	593
837	3051	589
838	3054	586
839	3056	582
840	3059	578
841	3062	574
842	3065	570
843	3068	567
844	3071	563
845	3074	559
846	3077	555
847	3081	552
848	3084	548
849	3087	544
850	3090	541
851	3093	537
852	3096	533
853	3100	530
854	3103	526
855	3106	522
856	3109	518
857	3112	515
858	3116	511
859	3119	507
860	3121	503
861	3124	500
862	3127	496
863	3131	492
864	3134	489
865	3137	485
866	3140	481
867	3142	477
868	3146	474
869	3149	470
870	3151	466
871	3154	463
872	3157	459
873	3160	455
874	3163	451
875	3166	448
876	3169	444
877	3172	440
878	3175	437
879	3178	433
880	3182	429
881	3185	426
882	3188	422
883	3191	418
884	3195	415
885	3199	411
886	3202	407
887	3205	404
888	3208	400
889	3212	397
890	3215	393
891	3219	389
892	3221	386
893	3225	382
894	3228	378
895	3231	375
896	3234	371
897	3236	367
898	3239	363
899	3242	360
900	3245	356
901	3247	352
902	3250	349
903	3253	345
904	3256	341
905	3259	338
906	3262	334
907	3265	330
908	3268	327
909	3271	323
910	3276	320
911	3289	317
912	3296	314
913	3304	310
914	3312	307
915	3317	304
916	3321	300
917	3324	296
918	3331	293
919	3338	290
920	3341	286
921	3345	282
922	3348	279
923	3353	275
924	3358	272
925	3361	268
926	3364	264
927	3370	261
928	3376	258
929	3380	254
930	3384	250
931	3388	247
932	3391	243
933	3394	239
934	3397	236
935	3401	232
936	3404	228
937	3407	225
938	3411	221
939	3418	218
940	3426	214
941	3438	211
942	3456	208
943	3464	205
944	3472	202
945	3487	199
946	3495	195
947	3500	192
948	3504	188
949	3509	184
950	3514	181
951	3517	177
952	3520	173
953	3523	169
954	3526	166
955	3530	162
956	3534	158
957	3537	155
958	3540	151
959	3544	147
960	3548	144
961	3551	140
962	3553	136
963	3557	132
964	3561	129
965	3564	125
966	3567	121
967	3571	118
968	3576	114
969	3583	110
970	3591	107
971	3598	103
972	3604	100
973	3609	96
974	3614	92
975	3619	88
976	3624	85
977	3628	81
978	3631	77
979	3635	74
980	3639	70
981	3643	66
982	3646	63
983	3651	59
984	3655	55
985	3659	51
986	3662	48
987	3666	44
988	3669	40
989	3673	37
990	3677	33
991	3681	29
992	3685	25
993	3689	22
994	3693	18
995	3696	14
996	3699	11
997	3703	7
998	3707	3
999	3710	0
97	3662	7
998	3666	3
999	3672	0
	307
968	9307	297
969	9316	288
970	9324	278
971	9331	268
972	9336	259
973	9343	249
974	9348	239
975	9355	230
976	9362	220
977	9368	210
978	9374	201
979	9382	191
980	9388	181
981	9397	172
982	9402	162
983	9409	153
984	9415	143
985	9420	133
986	9427	124
987	9434	114
988	9441	105
989	9446	95
990	9452	85
991	9507	76
992	9514	67
993	9532	57
994	9545	47
995	9556	38
996	9560	28
997	9563	19
998	9566	9
999	9570	0
